source,target
76561198285534477,76561198080320376
76561198285534477,76561198080786603
76561198285534477,76561198085154464
76561198285534477,76561198095446802
76561198285534477,76561198103873710
76561198285534477,76561198104147635
76561198285534477,76561198115047761
76561198285534477,76561198115603426
76561198285534477,76561198116643674
76561198285534477,76561198117798102
76561198285534477,76561198122310030
76561198285534477,76561198123886700
76561198285534477,76561198124270560
76561198285534477,76561198125680874
76561198285534477,76561198127459121
76561198285534477,76561198132282793
76561198285534477,76561198137889227
76561198285534477,76561198144006367
76561198285534477,76561198146208333
76561198285534477,76561198146649198
76561198285534477,76561198147266033
76561198285534477,76561198148040845
76561198285534477,76561198148925493
76561198285534477,76561198150497611
76561198285534477,76561198156486278
76561198285534477,76561198163139674
76561198285534477,76561198163788427
76561198285534477,76561198189003094
76561198285534477,76561198192068286
76561198285534477,76561198195332441
76561198285534477,76561198205714243
76561198285534477,76561198209141196
76561198285534477,76561198213870212
76561198285534477,76561198244526342
76561198285534477,76561198245889606
76561198285534477,76561198257238942
76561198285534477,76561198257802291
76561198285534477,76561198260665326
76561198285534477,76561198261521711
76561198285534477,76561198262732892
76561198285534477,76561198263001978
76561198285534477,76561198263861166
76561198285534477,76561198265255427
76561198285534477,76561198272969239
76561198285534477,76561198274190948
76561198285534477,76561198274391965
76561198285534477,76561198277255363
76561198285534477,76561198283319463
76561198285534477,76561198292538672
76561198285534477,76561198298098833
76561198285534477,76561198299852981
76561198285534477,76561198301902100
76561198285534477,76561198302459773
76561198285534477,76561198306640789
76561198285534477,76561198307370303
76561198285534477,76561198308806757
76561198285534477,76561198312060847
76561198285534477,76561198316317999
76561198285534477,76561198317348202
76561198285534477,76561198318420330
76561198285534477,76561198319685808
76561198285534477,76561198319686323
76561198285534477,76561198319915741
76561198285534477,76561198319956159
76561198285534477,76561198324500621
76561198285534477,76561198328486636
76561198285534477,76561198329018493
76561198285534477,76561198334629596
76561198285534477,76561198339965255
76561198285534477,76561198344094428
76561198285534477,76561198347777940
76561198285534477,76561198348558502
76561198285534477,76561198353622816
76561198285534477,76561198360847212
76561198285534477,76561198362496142
76561198285534477,76561198363890155
76561198285534477,76561198366433111
76561198285534477,76561198367267549
76561198285534477,76561198370852503
76561198285534477,76561198371174941
76561198285534477,76561198375488208
76561198285534477,76561198375816269
76561198285534477,76561198376371072
76561198285534477,76561198381122180
76561198285534477,76561198389647057
76561198285534477,76561198397177352
76561198285534477,76561198398503299
76561198285534477,76561198403297636
76561198285534477,76561198407837359
76561198285534477,76561198411422631
76561198285534477,76561198411937531
76561198285534477,76561198412250987
76561198285534477,76561198420212345
76561198285534477,76561198425699463
76561198285534477,76561198431439856
76561198285534477,76561198438892519
76561198285534477,76561198449074019
76561198285534477,76561198802124996
76561198285534477,76561198802126122
76561198285534477,76561198802351715
76561198285534477,76561198804307942
76561198285534477,76561198806973520
76561198285534477,76561198812454213
76561198285534477,76561198820124740
76561198285534477,76561198843211033
76561198285534477,76561198846577554
76561198285534477,76561198849583818
76561198285534477,76561198978527019
76561198285534477,76561199084942836
76561198285534477,76561199472902713
76561198285534477,76561199851170909
76561198308806757,76561198005968119
76561198308806757,76561198103080743
76561198308806757,76561198141838344
76561198308806757,76561198146218939
76561198308806757,76561198216721433
76561198308806757,76561198260709872
76561198308806757,76561198309927385
76561198308806757,76561198315756688
76561198308806757,76561198318399166
76561198308806757,76561198318417814
76561198308806757,76561198380616275
76561198308806757,76561198387146198
76561198308806757,76561198400024070
76561198308806757,76561198402450541
76561198308806757,76561198408714684
76561198308806757,76561198577817824
76561198308806757,76561198797624743
76561198308806757,76561198802351715
76561198308806757,76561198806973520
76561198308806757,76561198827403988
76561198308806757,76561198847399430
76561198308806757,76561198876958247
76561198308806757,76561199012005678
76561198308806757,76561199041716837
76561198308806757,76561199084942836
76561198308806757,76561199118283928
76561198308806757,76561199151576788
76561198308806757,76561199472902713
76561198308806757,76561199819112937
76561198365721356,76561198019769426
76561198365721356,76561198073069405
76561198365721356,76561198146218939
76561198365721356,76561198148930354
76561198365721356,76561198204650429
76561198365721356,76561198220640852
76561198365721356,76561198453518923
76561198365721356,76561198802351715
76561198365721356,76561198982996260
76561198365721356,76561199021854661
76561198365721356,76561199084942836
76561198365721356,76561199104854333
76561198365721356,76561199227396417
76561198365721356,76561199402853212
76561198365721356,76561199789241632
76561198397177352,76561197979564704
76561198397177352,76561198016874633
76561198397177352,76561198025564597
76561198397177352,76561198039524991
76561198397177352,76561198042559766
76561198397177352,76561198043965374
76561198397177352,76561198056672216
76561198397177352,76561198056892742
76561198397177352,76561198070096551
76561198397177352,76561198081749401
76561198397177352,76561198083537446
76561198397177352,76561198087150798
76561198397177352,76561198094625834
76561198397177352,76561198096727664
76561198397177352,76561198115069919
76561198397177352,76561198146218939
76561198397177352,76561198148648386
76561198397177352,76561198152737166
76561198397177352,76561198162716377
76561198397177352,76561198166894843
76561198397177352,76561198190825925
76561198397177352,76561198199042553
76561198397177352,76561198211771539
76561198397177352,76561198220193773
76561198397177352,76561198238951098
76561198397177352,76561198239173412
76561198397177352,76561198261479292
76561198397177352,76561198263578442
76561198397177352,76561198279914122
76561198397177352,76561198280334272
76561198397177352,76561198291345400
76561198397177352,76561198294340739
76561198397177352,76561198296202369
76561198397177352,76561198298043564
76561198397177352,76561198312309610
76561198397177352,76561198314617734
76561198397177352,76561198318937764
76561198397177352,76561198319208451
76561198397177352,76561198336339580
76561198397177352,76561198339125370
76561198397177352,76561198340534008
76561198397177352,76561198365889723
76561198397177352,76561198365923773
76561198397177352,76561198372913978
76561198397177352,76561198380091141
76561198397177352,76561198413886009
76561198397177352,76561198419652307
76561198397177352,76561198577817824
76561198397177352,76561198797330567
76561198397177352,76561198797624743
76561198397177352,76561198802351715
76561198397177352,76561198806973520
76561198397177352,76561198809761031
76561198397177352,76561198846073536
76561198397177352,76561198857071387
76561198397177352,76561198857379365
76561198397177352,76561198878853453
76561198397177352,76561198949439419
76561198397177352,76561198978476078
76561198397177352,76561198980203860
76561198397177352,76561198995530781
76561198397177352,76561199045058442
76561198397177352,76561199060019402
76561198397177352,76561199085579460
76561198397177352,76561199167305495
76561198397177352,76561199196827317
76561198397177352,76561199236021172
76561198397177352,76561199262541177
76561198397177352,76561199274341494
76561198397177352,76561199377122494
76561198397177352,76561199500912137
76561198397177352,76561199605981583
76561198400024070,76561197986276329
76561198400024070,76561197989757204
76561198400024070,76561198008641545
76561198400024070,76561198022392449
76561198400024070,76561198039869697
76561198400024070,76561198040900746
76561198400024070,76561198043976532
76561198400024070,76561198045309162
76561198400024070,76561198058892914
76561198400024070,76561198061331289
76561198400024070,76561198063399591
76561198400024070,76561198066243047
76561198400024070,76561198067166716
76561198400024070,76561198067861658
76561198400024070,76561198072702421
76561198400024070,76561198073801267
76561198400024070,76561198074038268
76561198400024070,76561198077555501
76561198400024070,76561198085270024
76561198400024070,76561198091872097
76561198400024070,76561198093334881
76561198400024070,76561198111750614
76561198400024070,76561198111853868
76561198400024070,76561198123125731
76561198400024070,76561198129538416
76561198400024070,76561198129907194
76561198400024070,76561198133015296
76561198400024070,76561198138324199
76561198400024070,76561198139229275
76561198400024070,76561198141357941
76561198400024070,76561198141554215
76561198400024070,76561198144457949
76561198400024070,76561198144862318
76561198400024070,76561198148104588
76561198400024070,76561198150779809
76561198400024070,76561198151620351
76561198400024070,76561198154836613
76561198400024070,76561198159230369
76561198400024070,76561198162251610
76561198400024070,76561198165400463
76561198400024070,76561198166202021
76561198400024070,76561198168207577
76561198400024070,76561198185497498
76561198400024070,76561198186319711
76561198400024070,76561198186372491
76561198400024070,76561198187406389
76561198400024070,76561198194032103
76561198400024070,76561198199860265
76561198400024070,76561198200340175
76561198400024070,76561198201546110
76561198400024070,76561198213811713
76561198400024070,76561198215815945
76561198400024070,76561198226559980
76561198400024070,76561198252314250
76561198400024070,76561198255929221
76561198400024070,76561198257535384
76561198400024070,76561198260974230
76561198400024070,76561198263857674
76561198400024070,76561198265928569
76561198400024070,76561198271348636
76561198400024070,76561198272347152
76561198400024070,76561198274181948
76561198400024070,76561198276971618
76561198400024070,76561198282661432
76561198400024070,76561198285205652
76561198400024070,76561198287157505
76561198400024070,76561198288395844
76561198400024070,76561198289662768
76561198400024070,76561198298258231
76561198400024070,76561198303082903
76561198400024070,76561198305550621
76561198400024070,76561198308770034
76561198400024070,76561198312177136
76561198400024070,76561198313936925
76561198400024070,76561198316505147
76561198400024070,76561198317165903
76561198400024070,76561198317832843
76561198400024070,76561198324087797
76561198400024070,76561198327101863
76561198400024070,76561198328814303
76561198400024070,76561198331000155
